PDK4,-0.425160831757304
FAS,-0.807811448369189
CD44,-0.370372613365298
TLL1,-0.517716374267798
LY75,-0.670506392247684
ABCC9,-0.527599312982257
SIDT1,-0.344739978958443
SEMA3A,-0.529842064931954
FAT1,-0.462338017553716
HCK,-0.380272637229493
WFDC1,-0.343370337730138
WNT2,-0.745316975729833
ABCC3,-0.526053238592705
ACSS3,-0.479585424503066
DPYSL3,-0.29349779356943
ACADL,-0.452266728334623
PDZRN3,-0.33840383214559
HS3ST2,-0.309836652915665
PTGFR,-0.467962484979726
KIRREL2,-0.467413199750083
GAD1,-0.420165427109368
RNF17,-0.405197432144152
KL,-0.494309689601485
SQOR,-0.377195969155912
CH25H,-0.387061239239334
AOX1,-0.289667319062179
LEF1,-0.535719900482199
SLC24A4,-0.612269471091579
ARRDC4,-0.420235845758405
RXRG,-0.353416492330955
ITPKB,-0.422375416217038
PLA2G7,-0.345991069716541
CCDC15,-0.433745675724746
ME3,-0.541432851896424
ASTN1,-0.299546537946328
TRIM36,-0.353000432566122
RASGRP3,-0.666657388388438
PPP2R2B,-0.457003334908893
RBP7,-0.6545759068354
GUCY1A1,-0.487906023340884
SYK,-0.390295295908057
EVA1C,-0.515260415333459
GDNF,-0.302427848292659
SOX14,-0.750011458549273
CERS6,-0.507263033337245
SH3RF3,-0.724640918001973
RNF152,-0.543707919810323
SV2B,-0.435560946956461
CYP2R1,-0.469095121388163
PSMB8-AS1,-0.293234399247432
HLA-F,-0.266035910302044
HLA-A,-0.306436051647289
HCG4B,-0.312271917877475
NR2F1-AS1,-0.603492895827265
