"","ensembl_gene_id","external_gene_name","meth_diff","meth.p.val","log2FoldChange","padj","quadrant"
"49","ENSG00000101282","RSPO4",-0.5165510391674,0.0316482376211939,-1.002808781,7.17e-06,"green"
"82","ENSG00000113083","LOX",-0.390428529719727,0.0281461785401602,-1.791199359,7.61e-06,"green"
"92","ENSG00000116299","KIAA1324",-0.298919406340013,0.0486397094588022,-1.381772821,4.06e-07,"green"
"112","ENSG00000124882","EREG",-0.497915389546581,0.0357663996887059,-1.495529857,0.00017547,"green"
"125","ENSG00000128709","HOXD9",-0.328707437823119,0.0474939740804393,-1.13745334,0.011803165,"green"
"162","ENSG00000138821","SLC39A8",-0.286094856551381,0.0154566187835749,-1.391098077,9.87e-09,"green"
"243","ENSG00000165973","NELL1",-0.346706665694236,0.0310537522833641,-1.287384821,0.007120341,"green"
"256","ENSG00000170370","EMX2",-0.290356890058086,0.041776106012949,-1.638543592,0.000620932,"green"
"269","ENSG00000176194","CIDEA",-0.327803376290202,0.0370634586076072,-1.180637092,0.029013202,"green"
"362","ENSG00000243414","TICAM2",-0.390843541854615,0.0047234562296659,-1.093702365,0.011370143,"green"
"143","ENSG00000134285","FKBP11",0.342960980056894,0.0121058832430796,-1.726334052,3.29e-13,"red"
"144","ENSG00000134873","CLDN10",0.395192110825549,0.0116194861484916,-2.720688232,2.65e-13,"red"
"131","ENSG00000130940","CASZ1",0.510780589656406,0.0490720624317693,1.597547152,8.82e-06,"blue"
"145","ENSG00000134986","NREP",0.328853964402537,0.0143541187025087,1.012130935,0.006303949,"blue"
"254","ENSG00000169252","ADRB2",0.571425538564328,0.01552147172952,1.073660516,0.022996782,"blue"
"289","ENSG00000184702","SEPTIN5",0.732817237280405,0.00940367716203509,1.034929732,0.000160317,"blue"
"317","ENSG00000204385","SLC44A4",0.342687766179675,0.00141595598646735,1.077401482,0.009997232,"blue"
